STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997437 GHz,
TABLE,Region montaSl,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.233346,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1768308000
CPU_CLK_UNHALTED_CORE,FIXC1,814067900
CPU_CLK_UNHALTED_REF,FIXC2,789155500
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,807300000
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region montaSl,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],0.2333,
Runtime unhalted [s],0.2389,
Clock [MHz],3515.5826,
CPI,0.4604,
DP MFLOP/s,3459.6753,
AVX DP MFLOP/s,0,
Packed MUOPS/s,0,
Scalar MUOPS/s,3459.6753,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.407997437 GHz,
TABLE,Region resolveSistema,Group 1 Raw,FLOPS_DP,6
Region Info,Core 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,9049
CPU_CLK_UNHALTED_CORE,FIXC1,14688
CPU_CLK_UNHALTED_REF,FIXC2,13064
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,56
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,353
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,152
TABLE,Region resolveSistema,Group 1 Metric,FLOPS_DP,9
Metric,Core 3,
Runtime (RDTSC) [s],1.227117e-06,
Runtime unhalted [s],4.309862e-06,
Clock [MHz],3831.6493,
CPI,1.6232,
DP MFLOP/s,874.4072,
AVX DP MFLOP/s,495.4703,
Packed MUOPS/s,169.5030,
Scalar MUOPS/s,287.6661,
Vectorization ratio,37.0766,
